weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments,
pistol_standard,pistol_standard_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,,
bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
cymbal_monkey,,,2000,monkey,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
frag_grenade,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,,
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,,
ray_gun,ray_gun_upgraded,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,,
tesla_gun,tesla_gun_upgraded,,10000,tesla,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,,
ar_accurate,ar_accurate_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_cqb,ar_cqb_upgraded,,1600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_damage,ar_damage_upgraded,,5000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_longburst,ar_longburst_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_marksman,ar_marksman_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_standard,ar_standard_upgraded,,1400,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
lmg_cqb,lmg_cqb_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_heavy,lmg_heavy_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_light,lmg_light_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_slowfire,lmg_slowfire_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
pistol_burst,pistol_burst_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
pistol_fullauto,pistol_fullauto_upgraded,,750,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
shotgun_fullauto,shotgun_fullauto_upgraded,,5000,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
shotgun_precision,shotgun_precision_upgraded,,1100,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
shotgun_pump,shotgun_pump_upgraded,,750,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
shotgun_semiauto,shotgun_semiauto_upgraded,,5000,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
launcher_standard,launcher_standard_upgraded,,10000,,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,,
smg_burst,smg_burst_upgraded,,700,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
smg_capacity,smg_capacity_upgraded,,5000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
smg_fastfire,smg_fastfire_upgraded,,1250,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
smg_standard,smg_standard_upgraded,,1250,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
smg_versatile,smg_versatile_upgraded,,1300,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
sniper_fastbolt,sniper_fastbolt_upgraded,,5000,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,,
sniper_fastsemi,sniper_fastsemi_upgraded,,5000,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,,
sniper_powerbolt,sniper_powerbolt_upgraded,,5000,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,,
zod_riotshield,zod_riotshield_upgraded,,500,,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,,
hero_gravityspikes_melee,hero_gravityspikes_melee,,500,,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,,
pistol_revolver38,pistol_revolver38_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,,
octobomb,octobomb_upgraded,,2000,octobomb,,0,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,,,,
smg_sten,smg_sten_upgraded,,2000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
raygun_mark3,raygun_mark3_upgraded,,10000,ray3,,0,,,FALSE,FALSE,TRUE,1,,FALSE,FALSE,special,TRUE,TRUE,,
ar_famas,ar_famas_upgraded,,5000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,reddot grip,
ar_garand,ar_garand_upgraded,,5000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,reflex rf,
smg_mp40,smg_mp40_upgraded,,5000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,stalker quickdraw,
smg_ppsh,smg_ppsh_upgraded,,5000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
special_crossbow_dw,special_crossbow_dw_upgraded,,5000,dual,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,,
ar_peacekeeper,ar_peacekeeper_upgraded,,5000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,holo damage fmj,
pistol_energy,pistol_energy_upgraded,,500,energy_pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,reddot steadyaim fastreload,
shotgun_energy,shotgun_energy_upgraded,,5000,shotgun,,,,,FALSE,FALSE,FALSE,0,,FALSE,FALSE,shotgun,,,holo quickdraw stalker_shotgun,
smg_thompson,smg_thompson_upgraded,,1750,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,smg,,,,
thundergun,thundergun_upgraded,,10000,thundergun,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,,
launcher_multi,launcher_multi_upgraded,,5000,launcher,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,,
bo2_blundergat,bo2_blundergat_upgraded,,10000,tesla,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,,
bo2_acidgat,bo2_acidgat_upgraded,,10000,tesla,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,,
smg_pdw57,smg_pdw57_upgraded,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
bo2_m1927,bo2_m1927_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
smg_uzi,smg_uzi_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
bo2_mtar,bo2_mtar_upgraded,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
bo2_fal,bo2_fal_upgraded,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
bo2_m14,bo2_m14_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
sniper_dsr50,sniper_dsr50_upgraded,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,,
shotgun_870mcs,shotgun_870mcs_upgraded,,1200,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
bo2_olympia,bo2_olympia_upgraded,,500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
bo2_minigun,bo2_minigun_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,TRUE,,,
#bo2_judge,bo2_judge_upgraded,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
pistol_judge,pistol_judge_upgraded,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
bo2_1911,bo2_1911_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,,
pistol_beretta93r,pistol_beretta93r_upgraded,,1000,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
zombie_tomahawk,zombie_tomahawk_upgraded,,1000,grenade,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
bo3_an94,bo3_an94_upgraded,,2500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
bo3_mark2,bo3_mark2_upgraded,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,,
bo3_galil,bo3_galil_upgraded,,2500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
bo3_m1911,bo3_m1911_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,,,
mwr_mp5,mwr_mp5_upgraded,,1250,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
mwr_ak47,mwr_ak47_upgraded,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
mp28,mp28_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,,
launch_usrpg,launch_usrpg_upgraded,,1500,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,,
sniper_barretm82,sniper_barretm82_upgraded,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,,
bo2_lsat,bo2_lsat_upgraded,,1500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
shotgun_saiga12,shotgun_saiga12_upgraded,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,,
pistol_fiveseven_dw,pistol_fiveseven_dw_upgraded,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,,
